f1,f2,f3,f4,Outcome
164,2.75,580,540,N
70,3.35,650,670,Y
273,3.77,530,520,N
16,3.37,530,460,N
77,2.92,550,530,N
13,3.12,710,700,N
308,3.86,630,530,Y
287,3.18,620,410,N
33,2.53,610,590,Y
253,3.9,640,570,Y
159,3.65,610,470,Y
4,3.05,640,480,Y
273,3.4,560,420,Y
197,3.93,630,590,Y
158,3.26,650,530,Y
180,3.22,520,480,N
12,2.36,620,600,N
197,3.9,720,600,Y
80,2.44,620,480,Y
84,2.42,630,470,N
305,2.67,500,400,Y
273,3.19,620,530,N
252,3.28,610,600,Y
130,3.13,520,530,N
1,3.59,660,500,N
130,2.76,540,510,Y
77,3.01,600,530,N
161,3.1,690,600,Y
197,3.7,580,640,Y
185,2.91,580,530,N
197,2.97,640,590,N
7,3.03,590,590,Y
254,2.68,560,490,Y
88,2.13,560,580,Y
7,3.51,620,500,Y
188,3.43,670,500,Y
112,3,560,490,Y
77,3.68,590,550,Y
252,3.09,500,500,N
73,2.66,460,400,Y
233,2.9,620,570,Y
72,3.86,700,500,Y
197,3.28,530,500,Y
273,3.38,540,540,Y
127,2.54,740,680,N
56,4.05,640,610,Y
186,3.44,480,480,Y
125,3.15,660,730,N
81,2.89,640,520,N
4,2.84,530,590,Y
273,3.81,470,480,Y
64,3.34,640,540,Y
327,3.23,490,460,N
334,3.14,680,670,N
308,4.01,660,390,Y
268,2.52,540,410,N
254,3.47,520,530,Y
158,3.72,600,580,Y
130,3.38,540,490,Y
273,3.75,530,660,Y
122,2.77,610,420,N
48,3.05,630,510,Y
308,2.84,550,500,N
273,3.28,580,560,Y
188,3.97,560,480,N
84,3.02,600,620,N
254,3.63,580,570,Y
257,4.27,620,650,Y
294,3.62,650,520,Y
61,2.83,640,470,Y
112,2.54,670,480,Y
254,3.36,520,440,N
195,3.66,560,500,Y
90,3.49,500,470,Y
140,2.94,510,550,N
81,2.84,540,530,Y
84,2.74,560,480,N
130,4.01,540,470,Y
206,2.79,610,450,Y
16,2.85,530,520,Y
159,3.12,650,650,N
233,3.04,570,520,Y
77,3.59,570,570,N
35,3.09,740,550,Y
64,2.63,610,480,Y
197,3.45,600,510,N
99,3.4,650,530,N
235,3.39,570,580,N
90,3.02,620,460,Y
152,3.53,670,480,Y
124,3.04,540,500,N
273,4.64,720,800,N
308,3.67,490,410,Y
273,2.8,570,480,Y
77,2.61,550,530,N
27,2.65,570,490,N
243,3.35,560,410,Y
180,2.64,670,710,N
207,4.48,620,550,Y
206,4.03,690,540,N
197,3.22,560,520,Y
33,2.58,590,450,Y
247,3.26,650,620,Y
193,2.55,640,500,N
287,3.47,590,460,Y
124,4.43,710,690,Y
273,3.54,520,410,N
66,2.85,600,530,Y
186,2.98,480,530,Y
155,2.53,510,480,N
164,3.49,570,640,N
35,2.52,620,400,Y
308,3.36,500,320,N
84,2.6,470,540,Y
265,4.52,680,430,Y
156,3.73,590,640,Y
77,3.29,590,500,Y
273,3.12,570,530,N
144,4.11,640,520,Y
257,3.74,640,510,Y
121,2.88,620,480,N
27,2.98,500,500,N
48,2.9,660,570,N
32,2.79,500,570,N
221,3.43,790,600,Y
273,3.74,640,530,Y
70,2.84,660,610,N
88,3.21,680,640,Y
328,2.98,460,470,Y
305,2.73,550,430,N
277,2.5,530,470,Y
99,3.39,450,440,N
269,4.45,690,580,Y
294,3.2,540,360,Y
65,3.55,600,720,Y
180,4.03,460,460,N
136,3.13,580,560,Y
80,2.32,580,470,N
123,3.73,680,600,Y
180,3.48,480,420,Y
122,2.66,680,570,N
211,2.86,530,510,N
206,3.33,590,380,N
34,2.51,560,530,Y
252,3.21,600,610,N
7,3.17,580,610,Y
321,3.18,450,470,N
73,3.47,660,530,N
84,2.92,590,570,N
69,2.58,660,580,Y
308,3.44,560,390,N
84,2.81,470,450,Y
134,3.09,540,520,N
58,2.52,650,730,N
273,3.61,560,510,Y
139,3.01,690,540,N
51,2.77,540,410,N
14,2.8,620,540,Y
69,3.03,590,580,N
84,3.49,560,520,Y
243,3.38,700,720,N
42,3.02,500,490,Y
254,3.37,660,400,N
88,3.52,530,500,Y
285,3.7,490,390,N
227,3.55,620,460,Y
113,2.91,710,560,N
185,2.8,650,550,N
133,3.16,650,460,Y
89,3.34,780,710,Y
273,3.49,620,660,N
